Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1 (city),Location 1,Location 1 (state),Location 2
UNITED STATES,2014,1,7,,30,,56,,7,,15,,9,,52,,73,,9,,40,,1,,32,,51,,1,,26,,,,,
NEW ENGLAND,2014,1,1,,1,,5,,1,,2,,,-,1,,4,,,-,,-,,-,3,,7,,,-,2,,,,,
MID. ATLANTIC,2014,1,,-,4,,12,,,-,,-,1,,3,,10,,1,,6,,,-,4,,11,,,-,6,,,,,
E.N. CENTRAL,2014,1,1,,5,,12,,1,,3,,2,,9,,15,,2,,7,,,-,6,,21,,,-,2,,,,,
W.N. CENTRAL,2014,1,1,,1,,6,,1,,,-,,-,2,,5,,,-,1,,,-,0,,5,,,-,,-,,,,
S. ATLANTIC,2014,1,,-,5,,15,,,-,1,,6,,16,,25,,6,,11,,,-,6,,21,,,-,4,,,,,
E.S. CENTRAL,2014,1,1,,1,,4,,1,,3,,,-,12,,17,,,-,10,,1,,6,,14,,1,,6,,,,,
W.S. CENTRAL,2014,1,1,,2,,6,,1,,,-,,-,5,,10,,,-,2,,,-,2,,7,,,-,1,,,,,
MOUNTAIN,2014,1,,-,2,,16,,,-,2,,,-,1,,4,,,-,2,,,-,1,,5,,,-,1,,,,,
PACIFIC,2014,1,2,,6,,18,,2,,4,,,-,3,,6,,,-,1,,,-,3,,7,,,-,4,,,,,
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),WYOMING,
PENNSYLVANIA,2014,1,,-,1,,4,,,-,,-,1,,1,,4,,1,,,-,,-,1,,6,,,-,2,,,POINT (-77.86069775999965 40.79373106100047),PENNSYLVANIA,
WISCONSIN,2014,1,,-,1,,3,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),WISCONSIN,
NEW YORK,2014,1,,-,1,,5,,,-,,-,,-,1,,3,,,-,,-,,-,2,,5,,,-,,-,,POINT (-75.54396639699968 42.82700023900048),NEW YORK,
WEST VIRGINIA,2014,1,,-,0,,1,,,-,,-,,-,3,,8,,,-,3,,,-,1,,5,,,-,2,,,POINT (-80.71263935099967 38.665511497000466),WEST VIRGINIA,
WASHINGTON,2014,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,1,,4,,,-,,-,,POINT (-120.47002746299972 47.522287905000496),WASHINGTON,
MICHIGAN,2014,1,,-,1,,7,,,-,1,,,-,1,,5,,,-,1,,,-,1,,11,,,-,1,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
MONTANA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-120.52155783099971 34.91997872200045),GUAM,
MISSISSIPPI,2014,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
VERMONT,2014,1,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),VERMONT,
MASSACHUSETTS,2014,1,,-,0,,3,,,-,2,,,-,1,,3,,,-,,-,,-,3,,7,,,-,2,,,POINT (-72.08268985899963 42.27687306500047),MASSACHUSETTS,
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),SOUTH DAKOTA,
ARIZONA,2014,1,,-,1,,6,,,-,2,,,-,0,,3,,,-,,-,,,0,,0,,,,,,,POINT (-111.76380949799972 34.865973091000455),ARIZONA,
OHIO,2014,1,1,,1,,5,,1,,1,,2,,4,,8,,2,,4,,,-,0,,17,,,-,,-,,POINT (-82.40425685299965 40.06021029700048),OHIO,
ILLINOIS,2014,1,,-,1,,5,,,-,1,,,-,2,,4,,,-,2,,,-,0,,4,,,-,,-,,POINT (-88.99770813999965 40.48501278700047),ILLINOIS,
ALASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),ALASKA,
AMER. SAMOA,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,AMER. SAMOA,
KANSAS,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,POINT (-98.20077655499966 38.34774033400049),KANSAS,
ALABAMA,2014,1,,-,0,,2,,,-,,-,,-,1,,5,,,-,1,,,-,0,,5,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),ALABAMA,
COLORADO,2014,1,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.13360888799969 38.84384047000049),COLORADO,
DIST. OF COL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),DIST. OF COL.,
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),SOUTH CAROLINA,
NEW MEXICO,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),NEW MEXICO,
CALIFORNIA,2014,1,2,,3,,17,,2,,3,,,-,2,,5,,,-,1,,,-,1,,5,,,-,4,,,POINT (-120.99999889499969 37.638640488000476),CALIFORNIA,
INDIANA,2014,1,,-,0,,2,,,-,,-,,-,2,,5,,,-,,-,,-,2,,7,,,-,1,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
VIRGIN ISL.,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
NEW YORK CITY,2014,1,,-,1,,7,,,-,,-,,-,1,,5,,,-,5,,,-,0,,1,,,-,1,,,POINT (-74.00596858999967 40.71426755700048),NEW YORK CITY,
TEXAS,2014,1,1,,2,,5,,1,,,-,,-,2,,5,,,-,,-,,-,0,,2,,,-,,-,,POINT (-99.4267664729997 31.827243635000457),TEXAS,
MARYLAND,2014,1,,-,0,,4,,,-,,-,,-,1,,3,,,-,1,,,-,1,,4,,,-,,-,,POINT (-76.60925970899967 39.2905806980005),MARYLAND,
NEW JERSEY,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,-,0,,3,,,-,3,,,POINT (-74.27368565099965 40.1305700530005),NEW JERSEY,
OKLAHOMA,2014,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,5,,,-,,-,,POINT (-97.52106845499969 35.472034350000456),OKLAHOMA,
NEW HAMPSHIRE,2014,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,,POINT (-71.50035726399966 43.6559537330005),NEW HAMPSHIRE,
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),AMER. SAMOA,
HAWAII,2014,1,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),HAWAII,
NEBRASKA,2014,1,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),NEBRASKA,
NORTH CAROLINA,2014,1,,-,1,,4,,,-,,-,2,,0,,16,,2,,,-,,-,0,,15,,,-,2,,,POINT (-79.15924924699965 35.46622388600048),NORTH CAROLINA,
MAINE,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-68.98502952999962 45.254228663000504),MAINE,
MISSOURI,2014,1,,-,0,,2,,,-,,-,,-,1,,4,,,-,1,,,-,0,,4,,,-,,-,,POINT (-92.56629737199967 38.63579372300046),MISSOURI,
CONNECTICUT,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-72.64983753699966 41.56266394200048),CONNECTICUT,
FLORIDA,2014,1,,-,2,,7,,,-,,-,4,,6,,13,,4,,6,,,-,2,,7,,,-,,-,,POINT (-81.92895558499964 28.932042899000464),FLORIDA,
KENTUCKY,2014,1,,-,0,,2,,,-,2,,,-,4,,7,,,-,3,,,-,4,,10,,,-,5,,,POINT (-84.77496612599964 37.645973909000475),KENTUCKY,
IOWA,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,POINT (-93.81648936699969 42.469404401000475),IOWA,
ARKANSAS,2014,1,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,-,0,,3,,,-,,-,,POINT (-92.27448794899965 34.748651751000466),ARKANSAS,
NEVADA,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,,POINT (-117.07183978499972 39.49324126500045),NEVADA,
GEORGIA,2014,1,,-,1,,4,,,-,1,,,-,2,,6,,,-,,-,,-,0,,3,,,-,,-,,POINT (-83.62757601199968 32.83968004200045),GEORGIA,
TENNESSEE,2014,1,1,,0,,2,,1,,1,,,-,5,,10,,,-,5,,1,,2,,7,,1,,1,,,POINT (-85.77448642199965 35.680943063000484),TENNESSEE,
NORTH DAKOTA,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),NORTH DAKOTA,
VIRGINIA,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
LOUISIANA,2014,1,,-,0,,2,,,-,,-,,-,1,,8,,,-,2,,,-,0,,2,,,-,1,,,POINT (-92.44567554599968 31.312662564000448),LOUISIANA,
UTAH,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-111.5871285339997 39.36070374600047),UTAH,
OREGON,2014,1,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,POINT (-120.15502977999972 44.567446178000466),OREGON,
RHODE ISLAND,2014,1,,-,0,,1,,,-,,-,,,0,,0,,,,,,,,0,,0,,,,,,,POINT (-71.52246918099962 41.70828281900049),RHODE ISLAND,
PUERTO RICO,2014,1,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,N,0,,0,,,N,,N,,POINT (-98.34556876399967 26.649497232000442),PUERTO RICO,
IDAHO,2014,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),IDAHO,
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),C.N.M.I.,
DELAWARE,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,,,,,POINT (-75.57773943699965 39.00883351400046),DELAWARE,
UNITED STATES,2014,2,6,,30,,56,,15,,41,,15,,53,,73,,32,,82,,8,,33,,53,,11,,60,,,,,
NEW ENGLAND,2014,2,,-,1,,5,,1,,3,,,-,1,,4,,,-,,-,,-,3,,7,,,-,9,,,,,
MID. ATLANTIC,2014,2,1,,4,,12,,2,,3,,4,,3,,10,,6,,7,,2,,4,,11,,2,,8,,,,,
E.N. CENTRAL,2014,2,1,,5,,12,,3,,15,,2,,9,,15,,5,,13,,3,,7,,23,,4,,8,,,,,
W.N. CENTRAL,2014,2,,-,1,,6,,1,,1,,,-,2,,5,,,-,3,,,-,0,,5,,,-,1,,,,,
S. ATLANTIC,2014,2,2,,5,,15,,2,,2,,6,,16,,26,,15,,25,,1,,6,,21,,1,,11,,,,,
E.S. CENTRAL,2014,2,,-,1,,4,,1,,5,,3,,12,,17,,5,,22,,2,,6,,14,,3,,14,,,,,
W.S. CENTRAL,2014,2,1,,2,,6,,2,,1,,,-,5,,10,,,-,3,,,-,2,,7,,,-,2,,,,,
MOUNTAIN,2014,2,1,,2,,16,,1,,6,,,-,1,,4,,,-,3,,,-,1,,5,,1,,2,,,,,
PACIFIC,2014,2,,-,6,,18,,2,,5,,,-,3,,6,,1,,6,,,-,2,,7,,,-,5,,,,,
MARYLAND,2014,2,1,,0,,4,,1,,1,,,-,1,,4,,,-,2,,,-,1,,3,,,-,2,,,POINT (-76.60925970899967 39.2905806980005),MARYLAND,
ALABAMA,2014,2,,-,0,,2,,,-,,-,,-,1,,5,,,-,2,,,-,0,,5,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),ALABAMA,
OHIO,2014,2,1,,1,,5,,3,,6,,2,,4,,8,,5,,8,,3,,0,,17,,4,,,-,,POINT (-82.40425685299965 40.06021029700048),OHIO,
DELAWARE,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,,,,,POINT (-75.57773943699965 39.00883351400046),DELAWARE,
MASSACHUSETTS,2014,2,,-,0,,3,,,-,2,,,-,1,,3,,,-,,-,,-,3,,7,,,-,9,,,POINT (-72.08268985899963 42.27687306500047),MASSACHUSETTS,
ARKANSAS,2014,2,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,-,0,,3,,,-,,-,,POINT (-92.27448794899965 34.748651751000466),ARKANSAS,
NEW YORK CITY,2014,2,,-,1,,7,,1,,1,,1,,1,,4,,1,,5,,,-,0,,1,,,-,1,,,POINT (-74.00596858999967 40.71426755700048),NEW YORK CITY,
OKLAHOMA,2014,2,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,5,,,-,,-,,POINT (-97.52106845499969 35.472034350000456),OKLAHOMA,
CONNECTICUT,2014,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-72.64983753699966 41.56266394200048),CONNECTICUT,
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
HAWAII,2014,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),HAWAII,
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
FLORIDA,2014,2,1,,2,,7,,1,,,-,3,,6,,13,,8,,10,,1,,2,,7,,1,,3,,,POINT (-81.92895558499964 28.932042899000464),FLORIDA,
MICHIGAN,2014,2,,-,1,,7,,,-,3,,,-,1,,5,,,-,1,,,-,1,,11,,,-,3,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
RHODE ISLAND,2014,2,,-,0,,1,,,-,,-,,,0,,0,,,,,,,,0,,0,,,,,,,POINT (-71.52246918099962 41.70828281900049),RHODE ISLAND,
NEW HAMPSHIRE,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,,POINT (-71.50035726399966 43.6559537330005),NEW HAMPSHIRE,
ALASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),ALASKA,
NORTH CAROLINA,2014,2,,-,1,,4,,,-,,-,,-,1,,16,,2,,3,,,-,0,,15,,,-,2,,,POINT (-79.15924924699965 35.46622388600048),NORTH CAROLINA,
TENNESSEE,2014,2,,-,0,,2,,1,,2,,3,,5,,11,,5,,12,,2,,2,,7,,3,,3,,,POINT (-85.77448642199965 35.680943063000484),TENNESSEE,
WEST VIRGINIA,2014,2,,-,0,,1,,,-,,-,1,,3,,8,,3,,7,,,-,0,,5,,,-,3,,,POINT (-80.71263935099967 38.665511497000466),WEST VIRGINIA,
MAINE,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-68.98502952999962 45.254228663000504),MAINE,
WASHINGTON,2014,2,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,1,,4,,,-,,-,,POINT (-120.47002746299972 47.522287905000496),WASHINGTON,
WYOMING,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),WYOMING,
ARIZONA,2014,2,1,,0,,6,,1,,6,,,-,0,,3,,,-,,-,,,0,,0,,,,,,,POINT (-111.76380949799972 34.865973091000455),ARIZONA,
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),AMER. SAMOA,
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),SOUTH DAKOTA,
KENTUCKY,2014,2,,-,0,,2,,,-,3,,,-,4,,8,,,-,5,,,-,4,,10,,,-,11,,,POINT (-84.77496612599964 37.645973909000475),KENTUCKY,
INDIANA,2014,2,,-,0,,2,,,-,2,,,-,2,,6,,,-,2,,,-,2,,8,,,-,5,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),GUAM,
DIST. OF COL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),DIST. OF COL.,
KANSAS,2014,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,POINT (-98.20077655499966 38.34774033400049),KANSAS,
MISSOURI,2014,2,,-,0,,2,,,-,,-,,-,1,,4,,,-,2,,,-,0,,4,,,-,1,,,POINT (-92.56629737199967 38.63579372300046),MISSOURI,
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),C.N.M.I.,
WISCONSIN,2014,2,,-,1,,3,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),WISCONSIN,
OREGON,2014,2,,-,0,,3,,,-,,-,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,POINT (-120.15502977999972 44.567446178000466),OREGON,
MONTANA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
TEXAS,2014,2,1,,2,,5,,2,,,-,,-,3,,5,,,-,1,,,-,0,,2,,,-,,-,,POINT (-99.4267664729997 31.827243635000457),TEXAS,
CALIFORNIA,2014,2,,-,3,,17,,2,,4,,,-,2,,5,,1,,5,,,-,1,,5,,,-,5,,,POINT (-120.99999889499969 37.638640488000476),CALIFORNIA,
NEW JERSEY,2014,2,,-,0,,2,,,-,1,,,-,0,,3,,,-,2,,,-,0,,3,,,-,4,,,POINT (-74.27368565099965 40.1305700530005),NEW JERSEY,
IDAHO,2014,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),IDAHO,
UTAH,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-111.5871285339997 39.36070374600047),UTAH,
VIRGINIA,2014,2,,-,0,,2,,,-,,-,1,,0,,4,,1,,,-,,-,0,,3,,,-,,-,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
LOUISIANA,2014,2,,-,0,,2,,,-,1,,,-,1,,8,,,-,2,,,-,0,,2,,,-,2,,,POINT (-92.44567554599968 31.312662564000448),LOUISIANA,
COLORADO,2014,2,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,POINT (-106.13360888799969 38.84384047000049),COLORADO,
ILLINOIS,2014,2,,-,1,,5,,,-,4,,,-,1,,4,,,-,2,,,-,0,,4,,,-,,-,,POINT (-88.99770813999965 40.48501278700047),ILLINOIS,
VERMONT,2014,2,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),VERMONT,
PUERTO RICO,2014,2,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,N,0,,0,,,N,,N,,POINT (-98.34556876399967 26.649497232000442),PUERTO RICO,
MISSISSIPPI,2014,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
IOWA,2014,2,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,POINT (-93.81648936699969 42.469404401000475),IOWA,
PENNSYLVANIA,2014,2,,-,1,,4,,,-,,-,3,,1,,4,,5,,,-,2,,1,,6,,2,,2,,,POINT (-77.86069775999965 40.79373106100047),PENNSYLVANIA,
NEVADA,2014,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,,POINT (-117.07183978499972 39.49324126500045),NEVADA,
SOUTH CAROLINA,2014,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),SOUTH CAROLINA,
GEORGIA,2014,2,,-,1,,4,,,-,1,,1,,2,,6,,1,,2,,,-,0,,3,,,-,1,,,POINT (-83.62757601199968 32.83968004200045),GEORGIA,
NEW YORK,2014,2,1,,1,,5,,1,,1,,,-,1,,3,,,-,,-,,-,2,,6,,,-,1,,,POINT (-75.54396639699968 42.82700023900048),NEW YORK,
NEW MEXICO,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),NEW MEXICO,
NORTH DAKOTA,2014,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),NORTH DAKOTA,
NEBRASKA,2014,2,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),NEBRASKA,
UNITED STATES,2014,3,8,,30,,56,,25,,58,,21,,54,,73,,64,,126,,4,,33,,53,,18,,74,,,,,
NEW ENGLAND,2014,3,,-,1,,5,,1,,4,,,-,1,,4,,,-,2,,,-,3,,7,,,-,13,,,,,
MID. ATLANTIC,2014,3,2,,4,,12,,4,,6,,2,,3,,10,,11,,11,,1,,4,,11,,3,,10,,,,,
E.N. CENTRAL,2014,3,,-,5,,12,,3,,19,,1,,9,,15,,7,,19,,,-,7,,23,,4,,10,,,,,
W.N. CENTRAL,2014,3,1,,1,,6,,2,,2,,,-,2,,5,,1,,3,,,-,0,,5,,1,,1,,,,,
S. ATLANTIC,2014,3,4,,5,,15,,6,,4,,12,,16,,26,,30,,37,,2,,6,,21,,3,,14,,,,,
E.S. CENTRAL,2014,3,,-,1,,4,,2,,5,,5,,12,,17,,12,,34,,,-,6,,14,,4,,17,,,,,
W.S. CENTRAL,2014,3,,-,2,,6,,2,,2,,1,,5,,10,,2,,7,,,-,2,,7,,,-,2,,,,,
MOUNTAIN,2014,3,,-,2,,16,,2,,7,,,-,1,,4,,,-,4,,,-,1,,5,,1,,1,,,,,
PACIFIC,2014,3,1,,6,,18,,3,,9,,,-,3,,6,,1,,9,,1,,2,,7,,2,,6,,,,,
MONTANA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),VIRGIN ISL.,
MISSISSIPPI,2014,3,,-,0,,1,,,-,,-,,-,1,,4,,,-,4,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
FLORIDA,2014,3,1,,2,,7,,2,,1,,9,,6,,13,,17,,15,,1,,2,,7,,2,,3,,,POINT (-81.92895558499964 28.932042899000464),FLORIDA,
INDIANA,2014,3,,-,0,,2,,,-,2,,,-,2,,6,,,-,4,,,-,2,,8,,,-,6,,,POINT (-86.14995579899966 39.76691364600049),INDIANA,
MICHIGAN,2014,3,,-,1,,7,,,-,5,,,-,1,,5,,,-,2,,,-,1,,11,,1,,3,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
COLORADO,2014,3,,-,0,,8,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,,POINT (-106.13360888799969 38.84384047000049),COLORADO,
VIRGINIA,2014,3,1,,0,,2,,1,,,-,1,,0,,4,,2,,,-,1,,0,,3,,1,,,-,,POINT (-78.45788924199968 37.54268075100049),VIRGINIA,
NORTH CAROLINA,2014,3,,-,1,,4,,,-,1,,,-,0,,16,,2,,3,,,-,0,,15,,,-,2,,,POINT (-79.15924924699965 35.46622388600048),NORTH CAROLINA,
HAWAII,2014,3,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),HAWAII,
ALABAMA,2014,3,,-,0,,2,,1,,,-,1,,1,,5,,3,,4,,,-,0,,5,,1,,,-,,POINT (-86.63185803899967 32.84057327200048),ALABAMA,
